pk,jsondata,id,name,description,markup_description,analyzed,gloss,type,source,comment,original_script,xhtml,markup_text,markup_analyzed,markup_gloss,markup_comment,language_pk,version
1,,1,instrumental marker: -(e/i)n,,,,,,,,,"<div class=""comments"">
  <dl>
    <dt>instrumental marker:</dt>
    <dd>-(e/i)n</dd>
  </dl>
</div>",,,,,1576,1
2,,2,"ARM: riká ""arm"" HAND: ãbõ ""hand""",,,,,,,,,"<div class=""Example""><table class=""example"">
<tr>
<td>
<p>ARM: riká</p>
</td>
<td>
<p>""arm""</p>
</td>
</tr>
<tr>
<td>
<p>HAND: ãbõ</p>
</td>
<td>
<p>""hand""</p>
</td>
</tr>
</table></div>",,,,,2436,1
3,,3,Arabic loans used for all numerals above 3 source: Penchoen,,,,,,,,,"<div class=""comments"">
  <p>Arabic loans used for all numerals above 3</p>
<p>source: Penchoen</p>
</div>",,,,,2473,1
4,,igt-1,tāmen tōu zìxíngchē,They steal bicycles.,,tāmen	tōu	zìxíngchē,3PL	steal	bicycle,,,,,,,<i>tāmen </i>	<i>tōu </i>	<i>zìxíngchē </i>,3PL	steal	bicycle,,2543,1
5,,igt-2,[wǒ gěi nǐ de] shū,the book [that I gave you],,[wǒ	gěi	nǐ	de]	shū,[1SG	give	2SG	LINK]	book,,,,,,,<i>[wǒ </i>	<i>gěi </i>	<i>nǐ </i>	<i>de] </i>	<i>shū </i>,[1SG	give	2SG	LINK]	book,,2543,1
6,,5,"ARM: cʉ' ""mano, brazo"" HAND: cʉ' ""mano, brazo""",,,,,,,,,"<div class=""Example""><table class=""example"">
<tr>
<td>
<p>ARM: cʉ'</p>
</td>
<td>
<p>""mano, brazo""</p>
</td>
</tr>
<tr>
<td>
<p>HAND: cʉ'</p>
</td>
<td>
<p>""mano, brazo""</p>
</td>
</tr>
</table></div>",,,,,825,1
7,,igt-3,dımın ıdw ṍww(ı),82,,dımın	ıdw	ṍww(ı),ten	eight	two,,,,,,,dımın	ıdw	ṍww(ı),ten	eight	two,"<div class=""comments"">
  <p> –181</p>
</div>",2394,1
8,,7,"mankhú ""finger""",,,,,,,,,"<div class=""Example""><table class=""example"">
<tr>
<td>
<p>mankhú</p>
</td>
<td>
<p>""finger""</p>
</td>
</tr>
</table></div>",,,,,465,1
9,,8,instrumental marker: -umu-,,,,,,,,,"<div class=""comments"">
  <dl>
    <dt>instrumental marker:</dt>
    <dd>-umu-</dd>
  </dl>
</div>",,,,,2440,1
10,,9,instrumental marker: -nə,,,,,,,,,"<div class=""comments"">
  <dl>
    <dt>instrumental marker:</dt>
    <dd>-nə</dd>
  </dl>
</div>",,,,,749,1
11,,10,reciprocal marker: ʔele,,,,,,,,,"<div class=""comments"">
  <p>reciprocal marker: ʔele</p>
</div>",,,,,2517,1
12,,11,instrumental and comitative marker: -en,,,,,,,,,"<div class=""comments"">
  <dl>
    <dt>instrumental and comitative marker:</dt>
    <dd>-en</dd>
  </dl>
</div>",,,,,2097,1
13,,12,pronominal and adnominal identical: ini itu proximal distal,,,,,,,,,"<div class=""Example""><p class=""p1""> </p>
<p class=""p1"">pronominal and adnominal identical:</p>
<p class=""p1""> </p>
<table cellpadding=""0"" cellspacing=""0"" class=""t1"">
<tbody>
<tr>
<td class=""td4"" valign=""top"">
<p class=""p1"">ini</p>
<p class=""p1"">itu</p>
</td>
<td class=""td7"" valign=""top"">
<p class=""p1"">proximal</p>
<p class=""p1"">distal</p>
</td>
</tr>
</tbody>
</table>
<p class=""p1""> </p>
<p class=""p1""> </p></div>",,,,,2545,1
