language_id,country_id
arr,AU
dda,AU
gml,AU
gmt,AU
kij,AU
mdb,AU
ngy,AU
pak,AU
aus,AU
bca,AU
clc,AU
gji,AU
kaq,AU
lrd,AU
nlu,AU
nju,AU
toy,AU
wgu,AU
yyo,AU
bnl,AU
gny,AU
lla,AU
thp,AU
dhu,AU
glp,AU
jua,AU
mnj,AU
mwa,AU
myy,AU
wlw,AU
wwr,AU
ylb,AU
kfc,AU
knq,AU
kjn,AU
ngr,AU
nyr,AU
tsm,AU
tye,AU
bwa,AU
mir,AU
pin,AU
yyg,AU
bnr,AU
bro,AU
rmb,AU
wlm,AU
wn,AU
ynk,AU
dhw,AU
dhb,AU
mrr,AU
nkk,AU
wrb,AU
krj,AU
wag,AU
kmw,AU
mdl,AU
wor,AU
yir,AU
bnu,AU
emm,AU
ngj,AU
wdo,AU
wir,AU
bac,AU
brd,AU
pun,AU
djn,AU
ngg,AU
ngw,AU
nyn,AU
wth,AU
adn,AU
ann,AU
byu,AU
gaa,AU
nya,AU
ywr,AU
bnb,AU
gnn,AU
grg,AU
kly,AU
kuu,AU
nkb,AU
wan,AU
awe,AU
dhr,AU
dja,AU
ggu,AU
mrh,AU
djm,AU
gnb,AU
iwa,AU
lml,AU
mer,AU
thy,AU
gug,AU
mbb,AU
wrw,AU
gid,AU
mdm,AU
ngn,AU
agt,AU
bdm,AU
jam,AU
lar,AU
nha,AU
rit,AU
mrw,AU
wrn,AU
bii,AU
ntj,AU
yng,AU
mny,AU
wat,AU
yny,AU
abn,AU
bnj,AU
ndj,AU
nyu,AU
pkn,AU
pny,AU
bua,AU
knc,AU
mra,AU
ngk,AU
wry,AU
wrg,AU
wmu,AU
yin,AU
wem,AU
yuw,AU
djr,AU
dji,AU
ppi,AU
wrl,AU
gum,AU
aly,AU
mpa,AU
yuk,AU
kya,AU
alw,AU
bbw,AU
grr,AU
kgu,AU
uhi,AU
guu,AU
djp,AU
mlk,AU
ngl,AU
amp,AU
diy,AU
dyi,AU
wam,AU
mku,AU
pit,AU
wrd,AU
ung,AU
yid,AU
nug,AU
mau,AU
goo,AU
mrt,AU
ngi,AU
myi,AU
tiw,AU
kay,AU
awk,NG
arn,NG
bpa,NG
ets,NG
fgo,NG
gho,NG
ibi,NG
kgm,NG
mdz,NG
ora,NG
urh,NG
bad,NG
klb,NG
blq,NG
def,NG
gad,NG
gdf,NG
ise,NG
npi,NG
hdi,NG
bok,NG
kwm,NG
nke,NG
tan,NG
ebi,NG
kbu,NG
gwo,NG
brb,NG
gnd,NG
ido,NG
koh,NG
tiv,NG
iso,NG
kpa,NG
ogb,NG
tok,NG
ron,NG
ige,NG
bni,NG
deg,NG
sle,NG
eja,NG
bus,NG
jar,NG
mla,NG
goe,NG
paa,NG
juk,NG
mlg,NG
duk,NG
gok,NG
izi,NG
lmg,NG
efi,NG
obg,NG
amo,NG
nup,NG
bud,NG
egn,NG
obo,NG
anc,NG
gud,NG
gwa,NG
kan,NG
per,NG
fye,NG
bir,NG
knk,NG
fni,NG
mum,NG
ter,NG
mup,NG
miy,NG
ngz,NG
ijo,NG
mrg,NG
igb,NG
knr,NG
yor,NG
hau,NG
tgl,BT
lim,BT
lep,BT
aci,GT
mmz,GT
pcm,GT
tec,GT
kea,GT
poc,GT
coi,GT
pkm,GT
kwe,GT
qch,GT
agu,GT
chj,GT
ixi,GT
itz,GT
kek,GT
cak,GT
grf,GT
mam,GT
tzu,GT
jak,GT
buj,GQ
bga,GQ
bub,GQ
mqc,MQ
lcr,MQ
fli,BF
fbf,BF
gut,BF
nnn,BF
tow,BF
dyu,BF
grm,BF
lob,BF
lye,BF
kow,BF
ksm,BF
bbf,BF
dts,BF
sme,BF
snn,BF
bis,BF
tou,BF
kir,BF
tny,BF
dga,BF
moo,BF
dds,BF
kfe,BF
tke,TK
ams,KW
arg,KW
cht,MX
csc,MX
mxl,MX
nhc,MX
nhp,MX
tec,MX
tpc,MX
zpi,MX
zqr,MX
ctt,MX
cec,MX
csf,MX
cte,MX
cmc,MX
ctc,MX
cut,MX
ixc,MX
mth,MX
mxu,MX
mxz,MX
mjc,MX
mxg,MX
mxs,MX
nhu,MX
nmp,MX
npa,MX
nhx,MX
osm,MX
psv,MX
tos,MX
trc,MX
tub,MX
tze,MX
tzb,MX
tzt,MX
tzs,MX
zaj,MX
zam,MX
zzo,MX
zfl,MX
myo,MX
mxt,MX
mja,MX
nsz,MX
ots,MX
tzz,MX
say,MX
zte,MX
col,MX
olu,MX
zaq,MX
nmi,MX
pop,MX
mxa,MX
zsq,MX
cch,MX
oix,MX
toj,MX
zqo,MX
cjo,MX
cho,MX
mxm,MX
coa,MX
psj,MX
tza,MX
pam,MX
mtp,MX
mzh,MX
zqs,MX
lac,MX
amz,MX
maz,MX
tpa,MX
chx,MX
mco,MX
zya,MX
klw,MX
mxj,MX
mxy,MX
eud,MX
cya,MX
nhm,MX
yct,MX
grj,MX
nhh,MX
nev,MX
ocu,MX
zch,MX
hui,MX
zap,MX
mxo,MX
pba,MX
tce,MX
tep,MX
tzo,MX
cpl,MX
mzc,MX
tps,MX
cmy,MX
twe,MX
tot,MX
zai,MX
cor,MX
txj,MX
tri,MX
ccm,MX
mxp,MX
chq,MX
ccp,MX
nhn,MX
ser,MX
cso,MX
tpn,MX
tlp,MX
tja,MX
htc,MX
hve,MX
die,MX
pur,MX
ood,MX
otm,MX
cle,MX
zqc,MX
nht,MX
mxc,MX
yaq,MX
ipk,PK
klh,PK
ktz,PK
blc,PK
bkt,PK
khw,PK
orm,PK
trw,PK
dmk,PK
kal,PK
sdh,PK
blt,PK
sna,PK
wak,PK
urd,PK
psh,PK
pan,PK
kas,PK
brh,PK
bur,PK
bfd,GW
gbc,GW
mkn,GW
mjk,GW
blz,GW
liv,LV
lat,LV
ams,SO
som,SO
est,EE
sen,MZ
eko,MZ
tsn,MZ
mkd,MZ
yao,MZ
rga,MZ
mua,MZ
ngo,MZ
cic,MZ
ayn,CN
chz,CN
kfy,CN
mnu,CN
syg,CN
zhn,CN
amd,CN
csl,CN
hks,CN
sol,CN
tst,CN
hok,CN
slr,CN
tis,CN
ano,CN
kug,CN
shy,CN
hmd,CN
jur,CN
mul,CN
nus,CN
oir,CN
jin,CN
han,CN
mkh,CN
ord,CN
yi,CN
bao,CN
dul,CN
wuc,CN
fuz,CN
kzh,CN
lkk,CN
puk,CN
sui,CN
xia,CN
acn,CN
lu,CN
jia,CN
pnu,CN
kpw,CN
nax,CN
pum,CN
sta,CN
qia,CN
lis,CN
akh,CN
tmo,CN
uyg,CN
hak,CN
khg,CN
lal,CN
don,CN
kmk,CN
bai,CN
mie,CN
