pk,jsondata,id,name,description,markup_description,parameter_pk,number,abbr,version
14,"{""icon"": ""cffffff""}",4A-1,No voicing contrast,No voicing contrast,,4,1,,1
6,"{""icon"": ""c0000dd""}",2A-1,Small (2-4),Small vowel inventory (2-4),,2,1,,1
15,"{""icon"": ""cdd0000""}",4A-2,In plosives alone,Voicing contrast in plosives alone,,4,2,,1
16,"{""icon"": ""c0000dd""}",4A-3,In fricatives alone,Voicing contrast in fricatives alone,,4,3,,1
17,"{""icon"": ""c990099""}",4A-4,In both plosives and fricatives,Voicing contrast in both plosives and fricatives,,4,4,,1
22,"{""icon"": ""c990099""}",5A-5,Both missing,Both missing,,5,5,,1
26,"{""icon"": ""c990099""}",6A-4,Uvular stops and continuants,Uvular stops and continuants,,6,4,,1
33,"{""icon"": ""ddd0000""}",7A-7,Implosives and glottalized resonants,Implosives and glottalized resonants,,7,7,,1
34,"{""icon"": ""d990099""}",7A-8,"Ejectives, implosives, and glottalized resonants","Ejectives, implosives and glottalized resonants",,7,8,,1
35,"{""icon"": ""cffffff""}",8A-1,No laterals,No laterals,,8,1,,1
36,"{""icon"": ""c0000dd""}",8A-2,"/l/, no obstruent laterals","/l/, no obstruent laterals",,8,2,,1
37,"{""icon"": ""cffff00""}",8A-3,"Laterals, but no /l/, no obstruent laterals","Laterals, but no /l/, no obstruent lateral",,8,3,,1
38,"{""icon"": ""c990099""}",8A-4,/l/ and lateral obstruent,/l/ and lateral obstruents,,8,4,,1
39,"{""icon"": ""cdd0000""}",8A-5,"No /l/, but lateral obstruents","No /l/, but lateral obstruents",,8,5,,1
42,"{""icon"": ""cffffff""}",9A-3,No velar nasal,No velar nasal,,9,3,,1
43,"{""icon"": ""cdd0000""}",10A-1,Contrast present,Contrastive nasal vowels present,,10,1,,1
44,"{""icon"": ""cffffff""}",10A-2,Contrast absent,Contrastive nasal vowels absent,,10,2,,1
45,"{""icon"": ""cffffff""}",11A-1,None,None,,11,1,,1
46,"{""icon"": ""c990099""}",11A-2,High and mid,High and mid,,11,2,,1
47,"{""icon"": ""cdd0000""}",11A-3,High only,High only,,11,3,,1
48,"{""icon"": ""c0000dd""}",11A-4,Mid only,Mid only,,11,4,,1
49,"{""icon"": ""cffffff""}",12A-1,Simple,Simple syllable structure,,12,1,,1
50,"{""icon"": ""cff66ff""}",12A-2,Moderately complex,Moderately complex syllable structure,,12,2,,1
