id,language_id,language_name,xhtml
1,udi,Udi,"<div class=""comments"">
  <dl>
    <dt>instrumental marker:</dt>
    <dd>-(e/i)n</dd>
  </dl>
</div>"
2,brs,Barasano,"<div class=""Example""><table class=""example"">
<tr>
<td>
<p>ARM: riká</p>
</td>
<td>
<p>""arm""</p>
</td>
</tr>
<tr>
<td>
<p>HAND: ãbõ</p>
</td>
<td>
<p>""hand""</p>
</td>
</tr>
</table></div>"
3,bma,Tamazight (Ayt Ndhir),"<div class=""comments"">
  <p>Arabic loans used for all numerals above 3</p>
<p>source: Penchoen</p>
</div>"
4,mnd,Mandarin,
5,olu,Popoluca (Oluta),"<div class=""Example""><table class=""example"">
<tr>
<td>
<p>ARM: cʉ'</p>
</td>
<td>
<p>""mano, brazo""</p>
</td>
</tr>
<tr>
<td>
<p>HAND: cʉ'</p>
</td>
<td>
<p>""mano, brazo""</p>
</td>
</tr>
</table></div>"
6,nbd,Dongolese Nubian,"<div class=""comments"">
  <p> –181</p>
</div>"
7,tsj,Tewa (San Juan Pueblo),"<div class=""Example""><table class=""example"">
<tr>
<td>
<p>mankhú</p>
</td>
<td>
<p>""finger""</p>
</td>
</tr>
</table></div>"
8,arp,Arapesh (Mountain),"<div class=""comments"">
  <dl>
    <dt>instrumental marker:</dt>
    <dd>-umu-</dd>
  </dl>
</div>"
9,ssh,Shinassha,"<div class=""comments"">
  <dl>
    <dt>instrumental marker:</dt>
    <dd>-nə</dd>
  </dl>
</div>"
10,sla,Slave,"<div class=""comments"">
  <p>reciprocal marker: ʔele</p>
</div>"
11,kzy,Komi-Zyrian,"<div class=""comments"">
  <dl>
    <dt>instrumental and comitative marker:</dt>
    <dd>-en</dd>
  </dl>
</div>"
12,ind,Indonesian,"<div class=""Example""><p class=""p1""> </p>
<p class=""p1"">pronominal and adnominal identical:</p>
<p class=""p1""> </p>
<table cellpadding=""0"" cellspacing=""0"" class=""t1"">
<tbody>
<tr>
<td class=""td4"" valign=""top"">
<p class=""p1"">ini</p>
<p class=""p1"">itu</p>
</td>
<td class=""td7"" valign=""top"">
<p class=""p1"">proximal</p>
<p class=""p1"">distal</p>
</td>
</tr>
</tbody>
</table>
<p class=""p1""> </p>
<p class=""p1""> </p></div>"
