ID,Name,Macroarea,Latitude,Longitude,Glottocode,ISO639P3code,Family,Subfamily,Genus,ISO_codes
tmc,Timucua,,30.25,-82.5,timu1245,tjm,,,,tjm
tpa,Totonac (Papantla),,20.333333333333332,-97.33333333333333,papa1238,top,Totonacan,,Totonacan,top
wrm,Warembori,,-1.6666666666666665,137.58333333333334,ware1253,wsa,Lower Mamberamo,,Lower Mamberamo,wsa
bvi,Bali-Vitu,,-4.9,149.11666666666667,,,Austronesian,Eastern Malayo-Polynesian,Oceanic,bbn wiv
bzi,Bauzi,,-2.5,137.5,bauz1241,bvz,East Geelvink Bay,,East Geelvink Bay,bvz
bet,Bété,,6.25,-6.25,dalo1238,bev,Niger-Congo,,Kru,bev
chx,Chontal (Huamelultec Oaxaca),,16,-95.75,lowl1260,clo,Tequistlatecan,,Tequistlatecan,clo
cro,Crow,,47,-108,crow1244,cro,Siouan,,Siouan,cro
drm,Darmiya,,30,79.75,darm1243,drd,Sino-Tibetan,Tibeto-Burman,Bodic,drd
dim,Dime,,6.166666666666667,36.25,dime1235,dim,Afro-Asiatic,Omotic,South Omotic,dim
ene,Enets,,67.5,86.5,,,Uralic,,Samoyedic,enf enh
gam,Gamo,,6.666666666666667,37.25,gamo1244,gmo,Afro-Asiatic,Omotic,North Omotic,gmo
gap,Gapapaiwa,,-9.75,149.83333333333334,gapa1238,pwg,Austronesian,Eastern Malayo-Polynesian,Oceanic,pwg
gbk,Gbaya Kara,,6,15,nort2775,gya,Niger-Congo,Adamawa-Ubangi,Ubangi,gya
gel,Gela,,-9.083333333333334,160.25,gela1263,nlg,Austronesian,Eastern Malayo-Polynesian,Oceanic,nlg
git,Gitksan,,55.33333333333333,-127.75,gitx1241,git,Penutian,,Tsimshianic,git
hil,Hiligaynon,,10.25,123,hili1240,hil,Austronesian,Western Malayo-Polynesian,Meso-Philippine,hil
iau,Iau,,-3.1666666666666665,137.5,iauu1242,tmu,Lakes Plain,,Lakes Plain,tmu
ken,Kenga,,12,18,keng1240,kyq,Nilo-Saharan,Central Sudanic,Bongo-Bagirmi,kyq
kje,Koreguaje,,1,-75.5,kore1283,coe,Tucanoan,,Tucanoan,coe
lmh,Lamaholot,,-8.25,122.91666666666667,lama1277,slp,Austronesian,,Central Malayo-Polynesian,slp
mts,Matis,,-4.416666666666667,-70.25,mati1255,mpq,Panoan,,Panoan,mpq
mbi,Mbili,,6.116666666666667,10.2,bamb1266,baw,Niger-Congo,Benue-Congo,Bantoid,baw
mco,Mixe (Coatlán),,16.916666666666668,-95.66666666666667,coat1238,mco,Mixe-Zoque,,Mixe-Zoque,mco
mov,Movima,,-13.833333333333334,-65.66666666666667,movi1243,mzp,,,,mzp
nad,Nadëb,,-1,-66.5,nade1244,mbj,Vaupés-Japurá,,Vaupés-Japurá,mbj
nag,Nagatman,,-3.75,141.5,yale1246,nce,Yale,,Yale,nce
nim,Nimboran,,-2.5,140.16666666666666,nucl1633,nir,,,,nir
nsn,Nisenan,,39,-121,nise1244,nsz,Penutian,,Maiduan,nsz
nza,Nzakara,,5,23,nzak1247,nzk,Niger-Congo,Adamawa-Ubangi,Ubangi,nzk
oya,Oriya,,21,85,,ori,Indo-European,,Indic,ori
osa,Osage,,37,-94,osag1243,osa,Siouan,,Siouan,osa
plg,Palaung,,22.666666666666668,96.66666666666667,,,Austro-Asiatic,Mon-Khmer,Palaung-Khmuic,pce rbb
pre,Pare,,-4,36.5,asut1235,asa,Niger-Congo,Benue-Congo,Bantoid,asa
pat,Patep,,-6.916666666666667,146.58333333333334,pate1247,ptp,Austronesian,Eastern Malayo-Polynesian,Oceanic,ptp
rov,Roviana,,-8.25,157.33333333333334,rovi1238,rug,Austronesian,Eastern Malayo-Polynesian,Oceanic,rug
stl,Santali,,24.5,87,sant1410,sat,Austro-Asiatic,,Munda,sat
teh,Tehuelche,,-48,-68,tehu1242,teh,Chon,,Chon Proper,teh
tny,Tenyer,,10.666666666666666,-4.5,west2466,kza,Niger-Congo,,Gur,kza
tgl,Tshangla,,27.833333333333332,92.16666666666667,tsha1245,tsj,Sino-Tibetan,Tibeto-Burman,Bodic,tsj
tte,Tutelo,,37.66666666666667,-78.75,tute1247,tta,Siouan,,Siouan,tta
tuy,Tuyuca,,0.5,-70.08333333333333,tuyu1244,tue,Tucanoan,,Tucanoan,tue
udi,Udi,,41,48,udii1243,udi,Nakh-Daghestanian,Daghestanian,Lezgic,udi
usr,Usarufa,,-6.416666666666667,145.58333333333334,usar1243,usa,Trans-New Guinea,,Eastern Highlands,usa
yal,Yale (Kosarek),,-4.083333333333333,139.5,kosa1249,kkl,Trans-New Guinea,,Mek,kkl
yan,Yana,,40.5,-122,yana1271,ynn,Hokan,,Yana,ynn
yaw,Yawa,,-1.75,136.25,nucl1454,yva,,,,yva
amn,Amanab,,-3.5833333333333335,141.25,aman1265,amn,Border,,Border,amn
aml,Ambae (Lolovoli Northeast),,-15.416666666666666,167.88333333333333,east2443,omb,Austronesian,Eastern Malayo-Polynesian,Oceanic,omb
apw,Apache (Western),,33.75,-110,west2615,apw,Na-Dene,,Athapaskan,apw
ams,Arabic (Modern Standard),,25,42,stan1318,arb,Afro-Asiatic,,Semitic,arb
awa,Awa,,-6.666666666666667,145.75,awap1236,awb,Trans-New Guinea,,Eastern Highlands,awb
blt,Balti,,35,76,balt1258,bft,Sino-Tibetan,Tibeto-Burman,Bodic,bft
bnn,Banoni,,-6.416666666666667,155.25,bann1247,bcm,Austronesian,Eastern Malayo-Polynesian,Oceanic,bcm
bsh,Bushoong,,-4.5,21.5,bush1247,buf,Niger-Congo,Benue-Congo,Bantoid,buf
can,Candoshi,,-4.166666666666667,-77,cand1248,cbu,,,,cbu
cku,Chinook (Upper),,45.5,-122.5,wasc1239,wac,Penutian,,Chinookan,wac
cea,Cree (Eastern),,51,-74,,,Algic,,Algonquian,crj crl
dom,Domari,,32,35,doma1258,rmt,Indo-European,,Indic,rmt
gah,Gahuku,,-6,145.41666666666666,alek1238,gah,Trans-New Guinea,,Eastern Highlands,gah
gug,Gugada,,-30,134,koka1244,ktd,Australian,,Pama-Nyungan,ktd
gku,Gününa Küne,,-41,-67,puel1244,pue,Chon,,Puelche,pue
hya,Haya,,-2,31.5,haya1250,hay,Niger-Congo,Benue-Congo,Bantoid,hay
hid,Hidatsa,,47,-102.5,hida1246,hid,Siouan,,Siouan,hid
ho,Ho,,22,86,hooo1248,hoc,Austro-Asiatic,,Munda,hoc
idn,Iduna,,-9.333333333333334,150.25,idun1242,viv,Austronesian,Eastern Malayo-Polynesian,Oceanic,viv
ila,Ila,,-15.583333333333334,26.5,ilaa1246,ilb,Niger-Congo,Benue-Congo,Bantoid,ilb
klq,Kalam,,-5.25,144.58333333333334,kala1397,kmh,Trans-New Guinea,,Madang,kmh
khr,Kharia,,22.5,84.33333333333333,khar1287,khr,Austro-Asiatic,,Munda,khr
knn,Kinnauri,,31.5,78,kinn1249,kfk,Sino-Tibetan,Tibeto-Burman,Bodic,kfk
kta,Koita,,-9.333333333333334,147.08333333333334,koit1244,kqi,Trans-New Guinea,,Koiarian,kqi
kop,Komi-Permyak,,59.5,54.5,komi1269,koi,Uralic,Finno-Ugric,Finnic,koi
kni,Konni,,10.25,-1.5833333333333335,konn1242,kma,Niger-Congo,,Gur,kma
lag,Lagwan,,11.5,14.833333333333334,lagw1237,kot,Afro-Asiatic,Chadic,Biu-Mandara,kot
mla,Mambila,,6.75,11.5,,,Niger-Congo,Benue-Congo,Bantoid,mcu mzk
mmb,Mangap-Mbula,,-5.666666666666667,148.08333333333334,mbul1263,mna,Austronesian,Eastern Malayo-Polynesian,Oceanic,mna
mas,Masa,,10.5,15.5,masa1322,mcn,Afro-Asiatic,Chadic,Masa,mcn
mbb,Mbabaram,,-17.166666666666668,145,,,Australian,,Pama-Nyungan,
mea,Meyah,,-1.1666666666666665,133.5,meya1236,mej,East Bird's Head,,East Bird's Head,mej
mga,Mondunga,,2.25,21.5,ndun1249,ndt,Niger-Congo,Adamawa-Ubangi,Ubangi,ndt
mwe,Mwera,,-9,39,mwer1248,mwe,Niger-Congo,Benue-Congo,Bantoid,mwe
noc,Nocte,,27,95.5,noct1238,njb,Sino-Tibetan,Tibeto-Burman,Baric,njb
ork,Orok,,49.5,143.5,orok1265,oaa,Altaic,,Tungusic,oaa
pwn,Pawnee,,41,-98.66666666666667,pawn1254,paw,Caddoan,,Caddoan,paw
pia,Piaroa,,5,-67,piar1243,pid,Sáliban,,Piaroa,pid
qia,Qiang,,32,102.66666666666667,,,Sino-Tibetan,Tibeto-Burman,Qiangic,cng qxs
shp,Sahaptin (Northern),,46.5,-120,,,Penutian,,Sahaptian,waa yak
saw,Sawu,,-11.5,121.91666666666667,sabu1255,hvn,Austronesian,,Central Malayo-Polynesian,hvn
sho,Shoshone,,41,-114,shos1248,shh,Uto-Aztecan,,Numic,shh
tak,Takia,,-4.666666666666667,146,taki1248,tbc,Austronesian,Eastern Malayo-Polynesian,Oceanic,tbc
tnc,Tanacross,,63.5,-143.5,tana1290,tcb,Na-Dene,,Athapaskan,tcb
thk,Thakali,,29,83.75,thak1245,ths,Sino-Tibetan,Tibeto-Burman,Bodic,ths
tob,Toba,,-26.5,-59,toba1269,tob,Guaicuruan,,Guaicuruan,tob
tkm,Turkmen,,40,58,turk1304,tuk,Altaic,,Turkic,tuk
wrw,Warrwa,,-17.5,123.5,warr1258,wwr,Australian,,Nyulnyulan,wwr
zya,Zapotec (Yatzachi),,17.2,-96.2,yatz1235,zav,Oto-Manguean,,Zapotecan,zav
zar,Zarma,,13.833333333333334,2.1666666666666665,zarm1239,dje,Nilo-Saharan,,Songhay,dje
arb,Arabela,,-2,-75.16666666666667,arab1268,arl,Zaparoan,,Zaparoan,arl
alk,Arop-Lokep,,-5.383333333333333,147.05,arop1243,apr,Austronesian,Eastern Malayo-Polynesian,Oceanic,apr
awn,Awngi,,10.833333333333334,36.66666666666667,awng1244,awn,Afro-Asiatic,Cushitic,Central Cushitic,awn
bgr,Bagiro,,4.333333333333333,20.583333333333332,furu1242,fuu,Nilo-Saharan,Central Sudanic,Bongo-Bagirmi,fuu
baq,Baure,,-13.083333333333334,-64.16666666666667,baur1253,brg,Arawakan,,Arawakan,brg
cde,Carib (De'kwana),,5.5,-65,maqu1238,mch,Cariban,,Cariban,mch
chl,Chehalis (Upper),,46.58333333333333,-123,uppe1439,cjh,Salishan,,Tsamosan,cjh
gid,Gidabal,,-28.416666666666668,152.41666666666666,midd1357,bdy,Australian,,Pama-Nyungan,bdy
goe,Goemai,,8.666666666666666,9.75,goem1240,ank,Afro-Asiatic,Chadic,West Chadic,ank
hma,Hmar,,24.166666666666668,93,hmar1241,hmr,Sino-Tibetan,Tibeto-Burman,Kuki-Chin-Naga,hmr
ilo,Ilocano,,16,121,ilok1237,ilo,Austronesian,Western Malayo-Polynesian,Northern Philippines,ilo
kms,Kamass,,52,92,kama1351,xas,Uralic,,Samoyedic,xas
kar,Kara (in Central African Republic),,10,23,kara1482,kah,Nilo-Saharan,Central Sudanic,Bongo-Bagirmi,kah
klw,Kiliwa,,31.333333333333332,-115.66666666666667,kili1268,klb,Hokan,,Yuman,klb
kla,Klao,,4.75,-8.75,klao1243,klu,Niger-Congo,,Kru,klu
kmo,Koiali (Mountain),,-9,147.5,moun1252,kpx,Trans-New Guinea,,Koiarian,kpx
kun,Kuna,,8,-77.33333333333333,bord1248,kvn,Chibchan,,Kuna,kvn
kxo,Kxoe,,-17.5,22.5,kxoe1243,xuu,Khoisan,,Central Khoisan,xuu
laa,Laal,,10,17.666666666666668,laal1242,gdm,,,,gdm
lot,Lotha,,26.5,94.25,loth1237,njh,Sino-Tibetan,Tibeto-Burman,Kuki-Chin-Naga,njh
mdm,Madimadi,,-34.5,143.5,,,Australian,,Pama-Nyungan,
mpr,Maipure,,5.5,-67.5,,,Arawakan,,Arawakan,
mbt,Mangbetu,,2.5,26.5,mang1394,mdj,Nilo-Saharan,Central Sudanic,Mangbetu,mdj
mbr,Mbara,,11,15.416666666666666,mbar1260,mpk,Afro-Asiatic,Chadic,Biu-Mandara,mpk
mxj,Mixtec (Jicaltepec),,16.333333333333332,-98,pino1237,mio,Oto-Manguean,,Mixtecan,mio
mxy,Mixtec (Yosondúa),,16.916666666666668,-97.58333333333333,yoso1239,mpm,Oto-Manguean,,Mixtecan,mpm
mlm,Mlabri (Minor),,18.5,101,mlab1235,mra,Austro-Asiatic,Mon-Khmer,Palaung-Khmuic,mra
ngn,Ngandi,,-13.833333333333334,135,ngan1295,nid,Australian,Gunwinyguan,Ngandi,nid
oca,Ocaina,,-2.75,-71.75,ocai1244,oca,Huitotoan,,Huitoto,oca
oro,Orokaiva,,-8.833333333333334,148.25,orok1270,ork,Trans-New Guinea,,Binanderean,ork
orw,Oromo (Waata),,-3.3333333333333335,39.83333333333333,waat1238,ssn,Afro-Asiatic,Cushitic,Eastern Cushitic,ssn
sba,Sáliba (in Colombia),,6,-70,sali1298,slc,Sáliban,,Sáliba,slc
sna,Shina,,36,74,shin1264,scl,Indo-European,,Indic,scl
tbl,Tabla,,-2.45,140.41666666666666,tabl1243,tnm,Sentani,,Sentani,tnm
ura,Ura,,-18.666666666666668,169.08333333333334,urav1235,uur,Austronesian,Eastern Malayo-Polynesian,Oceanic,uur
wak,Wakhi,,36.5,72,wakh1245,wbl,Indo-European,,Iranian,wbl
yok,Yokuts (Yaudanchi),,36.08333333333333,-119.08333333333333,yoku1256,yok,Penutian,,Yokuts,yok
aar,Aari,,6,36.58333333333333,aari1238,aiz,Afro-Asiatic,Omotic,South Omotic,aiz
aga,Agarabi,,-6.166666666666667,146,agar1252,agd,Trans-New Guinea,,Eastern Highlands,agd
agt,Anguthimri,,-12.333333333333334,141.83333333333334,leni1238,lnj,Australian,,Pama-Nyungan,lnj
bdm,Badimaya,,-27.666666666666668,118,badi1246,bia,Australian,,Pama-Nyungan,bia
bkl,Bikol,,13.333333333333334,123.5,cent2087,bcl,Austronesian,Western Malayo-Polynesian,Meso-Philippine,bcl
bmb,Bimoba,,10.5,0,bimo1239,bim,Niger-Congo,,Gur,bim
bgo,Bongo,,7.5,28.5,bong1285,bot,Nilo-Saharan,Central Sudanic,Bongo-Bagirmi,bot
bum,Buma,,-11.633333333333335,166.83333333333334,tean1237,tkw,Austronesian,Eastern Malayo-Polynesian,Oceanic,tkw
buu,Buru,,-3.5,126.5,buru1303,mhs,Austronesian,,Central Malayo-Polynesian,mhs
cai,Chai,,5.333333333333333,35.33333333333333,suri1267,suq,Nilo-Saharan,Eastern Sudanic,Surmic,suq
drg,Dargwa,,42.25,47.41666666666667,darg1241,dar,Nakh-Daghestanian,Daghestanian,Lak-Dargwa,dar
eud,Eudeve,,29.166666666666668,-109.66666666666667,opat1246,opt,Uto-Aztecan,,Cahita,opt
fri,Frisian,,53,5,nort2628,frs,Indo-European,,Germanic,frs
gln,Golin,,-6.333333333333333,144.75,goli1247,gvf,Trans-New Guinea,,Chimbu,gvf
gul,Gula (in Central African Republic),,9.5,22.5,gula1269,glu,Nilo-Saharan,Central Sudanic,Bongo-Bagirmi,glu
irx,Iranxe,,-13,-58,iran1263,irn,Arawakan,,Arawakan,irn
jam,Jaminjung,,-15.083333333333334,130.5,djam1255,djd,Australian,,Jaminjungan,djd
kad,Kadugli,,11,29.666666666666668,katc1249,xtc,,,,xtc
kau,Kaulong,,-6.166666666666667,149.66666666666666,kaul1240,pss,Austronesian,Eastern Malayo-Polynesian,Oceanic,pss
kim,Kimaghama,,-8,138.5,kima1246,kig,Kolopom,,Kolopom,kig
koe,Koegu,,7,36.08333333333333,kweg1241,xwg,Nilo-Saharan,Eastern Sudanic,Surmic,xwg
kkt,Kokota,,-8,159.13333333333333,koko1269,kkk,Austronesian,Eastern Malayo-Polynesian,Oceanic,kkk
kyk,Kyaka,,-5.55,144.08333333333334,kyak1244,kyc,Trans-New Guinea,,Engan,kyc
lar,Laragia,,-12.666666666666666,130.83333333333334,lara1258,lrg,Australian,,Laragiyan,lrg
lis,Lisu,,26,98,lisu1250,lis,Sino-Tibetan,Tibeto-Burman,Burmese-Lolo,lis
mlu,Maleu,,-5.716666666666667,148.41666666666666,male1289,mgl,Austronesian,Eastern Malayo-Polynesian,Oceanic,mgl
mmn,Mamanwa,,9.416666666666666,125.5,mama1275,mmn,Austronesian,Western Malayo-Polynesian,Meso-Philippine,mmn
mru,Maru,,23.5,98.5,maru1249,mhx,Sino-Tibetan,Tibeto-Burman,Burmese-Lolo,mhx
mno,Mono (in United States),,38,-119,mono1275,mnr,Uto-Aztecan,,Numic,mnr
mwo,Mwotlap,,-13.583333333333334,167.58333333333334,motl1237,mlv,Austronesian,Eastern Malayo-Polynesian,Oceanic,mlv
ngo,Ngoni,,-11,36,ngon1269,ngo,Niger-Congo,Benue-Congo,Bantoid,ngo
nha,Nhanda,,-27,114.16666666666667,,,Australian,,Pama-Nyungan,
ptt,Pattani,,32.75,76.75,patt1248,lae,Sino-Tibetan,Tibeto-Burman,Bodic,lae
pok,Poko-Rawo,,-2.8333333333333335,141.58333333333334,rawo1244,rwa,Skou,,Serra Hills,rwa
prk,Purki,,34.66666666666667,76,puri1258,prx,Sino-Tibetan,Tibeto-Burman,Bodic,prx
rit,Ritharngu,,-12.833333333333334,135.5,rita1239,rit,Australian,,Pama-Nyungan,rit
rwe,Romani (Welsh),,52,-4,wels1246,rmw,Indo-European,,Indic,rmw
rum,Rumu,,-7.166666666666667,144.25,rumu1243,klq,Turama-Kikorian,,Turama-Kikorian,klq
run,Runga,,10.333333333333334,21,rung1258,rou,Nilo-Saharan,,Maban,rou
srd,Sardinian,,40,9,camp1261,sro,Indo-European,,Romance,sro
see,Seediq,,24.166666666666668,121.41666666666667,taro1264,trv,Austronesian,,Atayalic,trv
sor,Sora,,20,84.33333333333333,sora1254,srb,Austro-Asiatic,,Munda,srb
tlo,Tobelo,,1.5,128.5,tobe1252,tlb,West Papuan,,North Halmaheran,tlb
ycn,Yucuna,,-0.75,-71,yucu1253,ycn,Arawakan,,Arawakan,ycn
akh,Akha,,21.833333333333332,99.83333333333333,akha1245,ahk,Sino-Tibetan,Tibeto-Burman,Burmese-Lolo,ahk
ang,Anggor,,-3.75,141.16666666666666,ango1254,agg,Senagi,,Senagi,agg
arq,Arabic (Iraqi),,33,44,meso1252,acm,Afro-Asiatic,,Semitic,acm
ass,Assamese,,26,93,assa1263,asm,Indo-European,,Indic,asm
cak,Cakchiquel,,14.5,-91,kaqc1274,ckf,Mayan,,Mayan,ckf
cya,Chatino (Yaitepec),,16.25,-97.25,west2644,ctp,Oto-Manguean,,Zapotecan,ctp
gon,Gondi,,19,81,,,Dravidian,,South-Central Dravidian,ggo gno
hlp,Hualapai,,35.5,-113.75,hava1248,yuf,Hokan,,Yuman,yuf
hnd,Hunde,,-1.1666666666666665,28.833333333333332,hund1239,hke,Niger-Congo,Benue-Congo,Bantoid,hke
hpd,Hup,,0.16666666666666669,-69.25,hupd1244,jup,Vaupés-Japurá,,Vaupés-Japurá,jup
jva,Javaé,,-10,-50.33333333333333,kara1500,kpj,Macro-Ge,,Karajá,kpj
ktl,Katla,,11.833333333333334,29.333333333333332,katl1237,kcr,Niger-Congo,Kordofanian,Katla-Tima,kcr
kwn,Kwangali,,-18,19.5,kwan1273,kwn,Niger-Congo,Benue-Congo,Bantoid,kwn
ldu,Lendu,,2,30.5,lend1245,led,Nilo-Saharan,Central Sudanic,Lendu,led
let,Leti,,-8.2,127.66666666666667,leti1246,lti,Austronesian,,Central Malayo-Polynesian,lti
mae,Mae,,-16,167.25,maee1241,mme,Austronesian,Eastern Malayo-Polynesian,Oceanic,mme
mot,Motuna,,-6.616666666666667,155.41666666666666,siwa1245,siw,East Bougainville,,East Bougainville,siw
mrw,Muruwari,,-28.75,147,muru1266,zmu,Australian,,Pama-Nyungan,zmu
nma,Naga (Mao),,25.5,94.33333333333333,maon1238,nbi,Sino-Tibetan,Tibeto-Burman,Kuki-Chin-Naga,nbi
nhm,Nahuatl (Michoacán),,18.5,-103,mich1245,ncl,Uto-Aztecan,,Aztecan,ncl
nph,Nar-Phu,,28.666666666666668,84.25,narp1239,npa,Sino-Tibetan,Tibeto-Burman,Bodic,npa
paa,Pa'a,,11,9.25,paaa1242,pqa,Afro-Asiatic,Chadic,West Chadic,pqa
pkt,Pokot,,1.5,35.5,poko1263,pko,Nilo-Saharan,Eastern Sudanic,Nilotic,pko
rny,Runyankore,,-0.5,30.5,nyan1307,nyn,Niger-Congo,Benue-Congo,Bantoid,nyn
sak,Sakao,,-15.166666666666666,167.08333333333334,saka1289,sku,Austronesian,Eastern Malayo-Polynesian,Oceanic,sku
shs,Shasta,,41.83333333333333,-122.66666666666667,shas1239,sht,Hokan,,Shasta,sht
sis,Sisiqa,,-7,156.83333333333334,baba1268,baa,Austronesian,Eastern Malayo-Polynesian,Oceanic,baa
son,Sonsorol-Tobi,,5.333333333333333,132.25,sons1242,sov,Austronesian,Eastern Malayo-Polynesian,Oceanic,sov
