ID,Name,Description,Tree_Is_Rooted,Tree_Type,Tree_Branch_Length_Unit,Media_ID,Source
family-abun,family-abun,Genealogical classification of the languages in the family Abun,,,,genealogy,
family-afroasiatic,family-afroasiatic,Genealogical classification of the languages in the family Afro-Asiatic,,,,genealogy,
family-aikana,family-aikana,Genealogical classification of the languages in the family Aikaná,,,,genealogy,
family-ainu,family-ainu,Genealogical classification of the languages in the family Ainu,,,,genealogy,
family-alacalufan,family-alacalufan,Genealogical classification of the languages in the family Alacalufan,,,,genealogy,
family-algic,family-algic,Genealogical classification of the languages in the family Algic,,,,genealogy,
family-altaic,family-altaic,Genealogical classification of the languages in the family Altaic,,,,genealogy,
family-andoke,family-andoke,Genealogical classification of the languages in the family Andoke,,,,genealogy,
family-anem,family-anem,Genealogical classification of the languages in the family Anêm,,,,genealogy,
family-arauan,family-arauan,Genealogical classification of the languages in the family Arauan,,,,genealogy,
family-araucanian,family-araucanian,Genealogical classification of the languages in the family Araucanian,,,,genealogy,
family-arawakan,family-arawakan,Genealogical classification of the languages in the family Arawakan,,,,genealogy,
family-asmatkamraubay,family-asmatkamraubay,Genealogical classification of the languages in the family Asmat-Kamrau Bay,,,,genealogy,
family-atakapa,family-atakapa,Genealogical classification of the languages in the family Atakapa,,,,genealogy,
family-austroasiatic,family-austroasiatic,Genealogical classification of the languages in the family Austro-Asiatic,,,,genealogy,
family-austronesian,family-austronesian,Genealogical classification of the languages in the family Austronesian,,,,genealogy,
family-aymaran,family-aymaran,Genealogical classification of the languages in the family Aymaran,,,,genealogy,
family-baibaifas,family-baibaifas,Genealogical classification of the languages in the family Baibai-Fas,,,,genealogy,
family-baining,family-baining,Genealogical classification of the languages in the family Baining,,,,genealogy,
family-bangime,family-bangime,Genealogical classification of the languages in the family Bangime,,,,genealogy,
family-barbacoan,family-barbacoan,Genealogical classification of the languages in the family Barbacoan,,,,genealogy,
family-basque,family-basque,Genealogical classification of the languages in the family Basque,,,,genealogy,
family-beothuk,family-beothuk,Genealogical classification of the languages in the family Beothuk,,,,genealogy,
family-berta,family-berta,Genealogical classification of the languages in the family Berta,,,,genealogy,
family-betoi,family-betoi,Genealogical classification of the languages in the family Betoi,,,,genealogy,
family-bogia,family-bogia,Genealogical classification of the languages in the family Bogia,,,,genealogy,
family-boran,family-boran,Genealogical classification of the languages in the family Boran,,,,genealogy,
family-border,family-border,Genealogical classification of the languages in the family Border,,,,genealogy,
family-bororoan,family-bororoan,Genealogical classification of the languages in the family Bororoan,,,,genealogy,
family-bulakariver,family-bulakariver,Genealogical classification of the languages in the family Bulaka River,,,,genealogy,
family-bunuban,family-bunuban,Genealogical classification of the languages in the family Bunuban,,,,genealogy,
family-burushaski,family-burushaski,Genealogical classification of the languages in the family Burushaski,,,,genealogy,
family-cacuanukak,family-cacuanukak,Genealogical classification of the languages in the family Cacua-Nukak,,,,genealogy,
family-caddoan,family-caddoan,Genealogical classification of the languages in the family Caddoan,,,,genealogy,
family-cahuapanan,family-cahuapanan,Genealogical classification of the languages in the family Cahuapanan,,,,genealogy,
family-camsa,family-camsa,Genealogical classification of the languages in the family Camsá,,,,genealogy,
family-candoshi,family-candoshi,Genealogical classification of the languages in the family Candoshi,,,,genealogy,
family-cariban,family-cariban,Genealogical classification of the languages in the family Cariban,,,,genealogy,
family-cayuvava,family-cayuvava,Genealogical classification of the languages in the family Cayuvava,,,,genealogy,
family-centralsudanic,family-centralsudanic,Genealogical classification of the languages in the family Central Sudanic,,,,genealogy,
