ID,Language_ID,Primary_Text,Analyzed_Word,Gloss,Translated_Text,Meta_Language_ID,Comment
igt-1,mnd,tāmen tōu zìxíngchē,tāmen\ttōu\tzìxíngchē,3PL\tsteal\tbicycle,They steal bicycles.,,
igt-2,mnd,[wǒ gěi nǐ de] shū,[wǒ\tgěi\tnǐ\tde]\tshū,[1SG\tgive\t2SG\tLINK]\tbook,the book [that I gave you],,
igt-3,nbd,dımın ıdw ṍww(ı),dımın\tıdw\tṍww(ı),ten\teight\ttwo,82,,
igt-4,geo,v-,v-,1 SG /1 PL,I we,,
igt-5,dre,troa traqa la nekönatr,troa\ttraqa\tla\tnekönatr,oblig\tarrive\tthe\tchild,the child must come,,
igt-6,dre,kola huliwa hnei wamo,kola\thuliwa\thnei\twamo,dur\twork\tag\tWamo,Wamo is working,,
igt-7,dre,öhnyi angajoxu hë hnei sinewenyi,öhnyi\tangajoxu\thë\thnei\tsinewenyi,find\tbig.chief\tacc\tag\tSinewenyi,Sinewenyi has found the big chief,,
igt-8,gud,kə kii Musa faara,kə\tkii\tMusa\tfaara,COMP\tthrow\tMusa\tstone,Musa threw a stone.,,
igt-9,gud,ma-gusə minə,ma-gusə\tminə,ATTR-short\twoman,a short woman,,
igt-10,myi,ŋal̩a gad̩ugu Ø ya j,ŋal̩a\tgad̩ugu\tØ\tya\tj,f.nom\twoman\t3sg\tgo\taor,the woman went,,
igt-11,myi,na bada ŋan ga ŋiñ,na	bada	ŋan	ga	ŋiñ,m.nom	father	3 sg>1sg	take	aor,Father took me,,
igt-12,myi,Ø malam ŋa d̩ar̩̩awu b,Ø\tmalam\tŋa\td̩ar̩̩awu\tb,m.acc\tman\t1sg>3sg\tfind\taor,I found the man,,
igt-13,myi,ŋaya bayi ga ŋa yag,ŋaya	bayi	ga	ŋa	yag,I.nom	emph	n3	1s g	go,I am going,,
igt-14,myi,buyʔ ñan wu na ña n bayi,buyʔ\tñan\twu\tna\tña\tn\tbayi,show\t3sg>2sg\taux\taor\tyou\tacc\temph,he showed you,,
igt-15,yaq,húme’e sebáhti - ta - im ‘áman kaáte,húme’e\tsebáhti\t-\tta\t-\tim\t‘áman\tkaáte,those\tSebastian\t-\tPOSS\t-\tPL\tthere\tgo.PL,Sebastian’s family is going there.,,
igt-16,yaq,húme’e páplo ‘íntok siláh - ta - im,húme’e\tpáplo\t‘íntok\tsiláh\t-\tta\t-\tim,those\tPaul\tand\tSilas\t-\tPOSS\t-\tPL,Paul and Silas’s group,,
igt-17,geo,qvavilebis micema mziastvis vanos mier,qvavilebis\tmicema\tmziastvis\tvanos\tmier,flowers.gen\tgive.an.nom\tMzia.for\tVano\tby,’Vano’s giving flowers to Mzia,,
igt-18,lgu,e zudu,e\tzudu,3SG\tsit,He/she is sitting.,,
igt-19,lgu,mwela-geni e vusi angi,mwela-geni\te\tvusi\tangi,child-woman\t3SG\talmost\tcry,The girl is almost crying.,,
igt-20,mup,n-tu joos b  . n-tue joos (mo),n-tu\tjoos\tb\t.\tn-tue\tjoos\t(mo),1.SG-\tkill.SG\trat\t1.SG-\tkill.PL\trat\t(PL),‘I killed a rat.’ ‘I killed rats.’,,
igt-21,mar,ʼiipash sh mat tuupooy k,ʼiipash\tsh\tmat\ttuupooy\tk,man\tPL.SUBJ\tRFL\tkill+PL\tRLS,the men killed each other (themselves),,
igt-22,rus,Nikto ne prišel.,Nikto\tne\tprišel.,nobody\tNEG\tcame.,Nobody came.,,
igt-23,rus,Ja ne videla ničego .,Ja	ne	videla	ničego .,I	NEG	saw	nothing,I saw nothing.,,
igt-24,yim,pu-n-tay,pu-n-tay,3PL.P-3SG.A  -see,He saw them.,,
igt-25,yim,pu-ka-tay,pu-ka-tay,3PL.A-1SG.A  -see,I saw them.,,
igt-26,cai,ŋà-sábbá-à,ŋà-sábbá-à,DEM-head-this,this head,,
igt-27,cai,ŋà-ɓíré-nù,ŋà-ɓíré-nù,DEM-stick-that,that stick,,
igt-28,lan,ɛ́n òcámò,ɛ́n	òcámò,s/he	3 SG  .eat.PFV.CONSTRUCT,He ate it.,,
igt-29,lan,òcàmò,òcàmò,3 SG  .eat.PFV,He ate it.,,
igt-30,uzb,ɔ tam u ɔdam-dan yɔš,ɔ tam	u	ɔdam-dan	yɔš,father.my	that	man-from	young,My father is younger than that man.,,
igt-31,apl,Yto- pyra eh-to-ko !,Yto-\tpyra\teh-to-ko\t!,go-\tNEG\tbe-2\tPL-IMP,Do not go (you all)!,,
igt-32,apl,"Tupito epery os -enah-no, n-ase .","Tupito\tepery\tos\t-enah-no,\tn-ase\t.",field\tfruit\tNEG\t-eat-\tIND.IMM.PRET\t3-say.IND.PRES,"“Don’t eat the fruit of the field”, he said.",,
igt-33,eka,èna ma gàati dàimita mutò,èna\tma\tgàati\tdàimita\tmutò,one\tand\tten\tand\tsixty,71,,
igt-34,eka,muto wìi,muto\twìi,sixty\tfour,240,,
igt-35,jak,-hin,-hin,1 SG,I,,
igt-36,jak,-hon̈,-hon̈,1 PL,we,,
igt-49,sla,šét n,šét n,eat.sg,‘eat’,,
igt-37,sla,w h ida,w h ida,be seated.sg,‘be seated’,,
igt-38,sla,w h íke̅,w h íke̅,be seated.du,‘be seated’,,
igt-39,sla,c'edéhk w 'I,c'edéhk w 'I,be seated.pl,‘be seated’,,
igt-40,sla,deya,deya,start out.sg,‘start out’ (controlled),,
igt-41,sla,kedéʔa,kedéʔa,start out.du,‘start out’ (controlled),,
igt-42,sla,kedéde̅,kedéde̅,start out.pl,‘start out’ (controlled),,
igt-43,sla,déhtlah,déhtlah,start out.sg,‘start out’ (non-controlled’),,
igt-44,sla,ɫegedéhthe,ɫegedéhthe,start out.du,‘start out’ (non-controlled’),,
igt-45,sla,gogedéhthe,gogedéhthe,start out.pl,‘start out’ (non-controlled’),,
igt-46,sla,tedé n wé,tedé\tn\twé,fall\tin\twater.sg,‘fall in water’,,
igt-47,sla,teni n ki ŋ,teni n ki ŋ,fall in water.du,‘fall in water’,,
igt-48,sla,teni n tɭ'i,teni\tn\ttɭ'i,fall\tin\twater.pl,‘fall in water’,,
igt-50,sla,šégetí n,šégetí n,eat.du,‘eat’,,
igt-51,sla,šégeyeh,šégeyeh,eat.pl,‘eat’,,
igt-52,sla,k'ínabe̅,k'ínabe̅,swim.sg,‘swim’,,
igt-53,sla,k'ínakebe̅,k'ínakebe̅,swim.du,‘swim’,,
igt-54,sla,k'ínakeʔoh,k'ínakeʔoh,swim.pl,‘swim’,,
igt-55,sla,tádedéhwé,tádedéhwé,fall down.sg,‘fall down’,,
igt-56,sla,táɫekededéhwé,táɫekededéhwé,fall down.du,‘fall down’,,
igt-57,sla,tádétɭ'i,tádétɭ'i,fall down.pl,‘fall down’,,
igt-58,sla,sek'eráwe,sek'eráwe,fight.sg,‘fight’,,
igt-59,sla,sek'erálekeg w e,sek'erálekeg w e,fight.du,‘fight’,,
igt-60,sla,sek'erákede̅,sek'erákede̅,fight.pl,‘fight’,,
